posture,rule_key,parameter,kind,unit,correct_limit,borderline_limit,correct_range_low,correct_range_high,borderline_range_low,borderline_range_high,provenance,note
PATAKA,mean_interfinger_spread_deg,mean_interfinger_spread_deg,max,deg,10.0,16.0,,,,,ENGINEERING_DEFAULT,Pataka keeps the fingers together; spread detects 'fingers too far apart'.
PATAKA,mean_adjacent_fingertip_gap_norm,mean_adjacent_fingertip_gap_norm,max,palm_size,0.3,0.45,,,,,ENGINEERING_DEFAULT,
ALAPADMA,mean_elbow_shoulder_alignment_norm,mean_elbow_shoulder_alignment_norm,max,shoulder_width,0.08,0.15,,,,,PROJECT_SPEC,
ALAPADMA,mean_interfinger_spread_deg,mean_interfinger_spread_deg,min,deg,12.0,8.0,,,,,ENGINEERING_DEFAULT,Alapadma is a fully splayed lotus hand: fingers must be spread.
ALAPADMA,palm_opening_norm,palm_opening_norm,min,palm_size,1.3,1.05,,,,,ENGINEERING_DEFAULT,
MUSHTI,mean_finger_flexion_deg,mean_finger_flexion_deg,min,deg,55.0,38.0,,,,,ENGINEERING_DEFAULT,"Mushti is a closed fist, so the long fingers must be strongly flexed."
MUSHTI,palm_opening_norm,palm_opening_norm,max,palm_size,0.95,1.15,,,,,ENGINEERING_DEFAULT,
MUSHTI,pinky_relative_extension,pinky_relative_extension,max,ratio,1.25,1.45,,,,,ENGINEERING_DEFAULT,Pinky tip-to-palm distance divided by the mean of the other three fingers; detects 'pinky dropped / fingers loose'.
KATAKAMUKHA,thumb_index_tip_distance_norm,thumb_index_tip_distance_norm,max,palm_size,0.45,0.7,,,,,ENGINEERING_DEFAULT,Katakamukha joins the thumb to the index and middle fingertips.
KATAKAMUKHA,fingertip_cluster_spread_norm,fingertip_cluster_spread_norm,max,palm_size,0.35,0.55,,,,,ENGINEERING_DEFAULT,
KATAKAMUKHA,ring_pinky_straightness_deg,ring_pinky_straightness_deg,min,deg,160.0,145.0,,,,,PROJECT_SPEC,"The ring and little fingers stay extended in Katakamukha, so the PROJECT_SPEC finger-straightness range applies to them; a drop below it is the 'fingers bent' error."
KATAKAMUKHA,mean_elbow_shoulder_alignment_norm,mean_elbow_shoulder_alignment_norm,max,shoulder_width,0.08,0.15,,,,,PROJECT_SPEC,
